index	race	incar
30019	Black	1
34197	Black	1
28194	Black	NA
25084	Black	1
30154	Black	1
29543	Black	1
30642	Black	NA
31868	Black	1
24531	Black	1
28327	Black	1
30636	Black	1
27752	Black	1
26753	Black	1
34531	Black	1
32815	Black	1
34382	Black	1
31821	Black	NA
28378	Black	NA
34139	Black	NA
26619	Black	1
29173	Black	1
29365	Black	1
30908	Black	1
29446	Black	1
27613	Black	1
29334	Black	1
27978	Black	1
25135	Black	1
33950	Black	1
34120	Black	NA
26121	Black	NA
29184	Black	NA
27560	Black	1
30665	Black	NA
25474	Black	1
31112	Black	NA
30150	Black	1
29266	Black	NA
26812	Black	NA
34293	Black	NA
31884	Black	NA
32160	Black	NA
25344	Black	NA
29739	Black	NA
25533	Black	NA
25661	Black	1
26524	Black	1
29541	Black	NA
31479	Black	NA
28196	Black	1
32181	Black	1
23907	Black	1
32891	Black	1
33040	Black	NA
34168	Black	1
31707	Black	NA
24288	Black	1
23921	Black	NA
31703	Black	NA
26948	Black	NA
26148	Black	NA
31725	Black	1
34241	Black	NA
30935	Black	1
31863	Black	NA
26020	Black	NA
29056	Black	1
32882	Black	1
34106	Black	NA
26238	Black	1
33967	Black	NA
30856	Black	1
25901	Black	1
24212	Black	1
32009	Black	1
31050	Black	1
32706	Black	1
28698	Black	1
23316	Black	1
32672	Black	1
29263	Black	1
28099	Black	1
32761	Black	NA
28851	Black	1
33295	Black	1
26767	Black	NA
23652	Black	1
33514	Black	1
31177	Black	1
29563	Black	1
31869	Black	1
27476	Black	1
23789	Black	1
30185	Black	NA
24809	Black	NA
25964	Black	NA
27312	Black	1
28472	Black	NA
32859	Black	1
26432	Black	1
28370	Black	1
26586	Black	NA
25521	Black	1
28005	Black	1
31912	Black	1
30516	Black	NA
26288	Black	1
31978	Black	NA
29972	Black	1
31047	Black	NA
28398	Black	1
30399	Black	NA
29913	Black	NA
25069	Black	1
34588	Black	1
30405	Black	1
27139	Black	NA
30242	Black	NA
34908	Black	1
27571	Black	NA
29945	Black	NA
28360	Black	NA
24192	Black	1
28870	Black	1
27447	Black	1
30909	Black	1
29789	Black	1
27705	Black	1
29209	Black	1
32224	Black	1
